"OpCode","mean.relief","sd.relief","fieldofview.Limited","fieldofview.Open","Biota: Consolidated","Biota: Macroalgae","Biota: Octocoral.Black","Biota: Sponges","Biota: Stony.corals","Biota: Unconsolidated","Biota: Reef","Biota: Consolidated: Boulder: Turf mat","Biota: Consolidated: Boulder: Veneer","Biota: Consolidated: Cobbles: Turf mat","Biota: Consolidated: Rock: Turf mat","Biota: Macroalgae: Articulated calcareous","Biota: Macroalgae: Erect course branching: Brown","Biota: Macroalgae: Erect course branching: Green","Biota: Macroalgae: Erect fine branching: Brown","Biota: Macroalgae: Erect fine branching: Green","Biota: Macroalgae: Erect fine branching: Red","Biota: Macroalgae: Filamentous and filiform","Biota: Macroalgae: Laminate","Biota: Macroalgae: Sheet-like membranous","Biota: Macroalgae: Small mixed","Biota: Octocoral/Black: Branching (3D)","Biota: Octocoral/Black: Fan (2D)","Biota: Octocoral/Black: Massive soft corals","Biota: Octocoral/Black: Small mixed","Biota: Sponges: Crusts","Biota: Sponges: Erect forms","Biota: Stony corals: Corymbose: Live","Biota: Stony corals: Encrusting: Live","Biota: Stony corals: Foliose / plate: Live","Biota: Stony corals: Massive: Live","Biota: Stony corals: Small mixed: Live","Biota: Stony corals: Staghorn: Live","Biota: Stony corals: Sub-massive: Bleached","Biota: Stony corals: Sub-massive: Live","Biota: Unconsolidated: Pebble / gravel (biogenic)","Biota: Unconsolidated: Pebble / gravel (gravel 2-10mm)","Biota: Unconsolidated: Pebble / gravel (pebble 10-64mm)","Biota: Unconsolidated: Sand / mud (coarse sand)","Biota: Unconsolidated: Sand / mud (fine sand)"
"MNCB299",1.8,0.836660026534076,0,100,0,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0.4
"MNCB300",1,0,0,100,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNCB301",0.8,0.421637021355784,0,100,0,10,0,0,0,0,10,0,0,0,0,0,0.1,0,0,0.4,0,0,0,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNCB302",1,0,0,100,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNCB303",0.6,0.516397779494322,0,100,0,9,0,0,0,1,9,0,0,0,0,0.1,0,0,0,0,0,0,0,0.3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"MNCB304",1,0,0,100,0,14,0,0,0,1,14,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667
"MNCB305",1,0,0,100,0,10,0,0,0,0,10,0,0,0,0,0.5,0,0,0,0,0,0.3,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNCB306",1,0,0,100,0,14,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNCB307",1,0,0,100,2,13,0,0,0,0,15,0,0,0.133333333333333,0,0,0,0,0,0.0666666666666667,0,0,0,0.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNCB308",2.05263157894737,1.7786912857656,0,100,1,0,0,0,9,9,1,0.0526315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0526315789473684,0.421052631578947,0,0,0,0,0,0,0.210526315789474,0,0.263157894736842
"MNCB310",1.45,1.46808145478878,0,100,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.05,0.15,0,0,0.3
"MNCB312",1,0,0,100,0,10,0,0,0,0,10,0,0,0,0,0,0.4,0,0,0,0,0.4,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNCB313",1,0,0,100,0,14,0,0,0,1,14,0,0,0,0,0.0666666666666667,0.2,0,0,0,0.0666666666666667,0.0666666666666667,0,0,0.533333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667
"MNCB314",1,0,0,100,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0.222222222222222,0,0,0,0,0.777777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNCB315",1.1,0.316227766016838,0,100,0,9,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNCB316",1.18181818181818,0.603022689155527,0,100,0,9,0,0,1,1,9,0,0,0,0,0,0.636363636363636,0,0,0,0,0,0,0,0.181818181818182,0,0,0,0,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0.0909090909090909,0
"MNCB317",1.63636363636364,1.02691063610494,0,100,4,0,0,0,3,4,4,0.363636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818181818182,0.0909090909090909,0,0,0,0,0,0,0,0,0.363636363636364
"MNCB318",4,0.333333333333333,0,100,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105263157894737,0,0,0.789473684210526,0.105263157894737,0,0,0,0,0,0,0,0
"MNCB319",3.66666666666667,0.778498944161523,0,100,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"MNCB320",1,0,0,100,0,12,0,0,0,0,12,0,0,0,0,0,0.416666666666667,0.166666666666667,0,0.333333333333333,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNCB321",1,0,0,100,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0.666666666666667,0,0.111111111111111,0.111111111111111,0,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNCB322",1,0,0,100,0,10,0,0,0,0,10,0,0,0,0,0.2,0.3,0,0,0.1,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MNCB323",0.928571428571429,0.267261241912424,0,100,0,9,1,0,3,1,10,0,0,0,0,0,0.0714285714285714,0,0,0.142857142857143,0,0.142857142857143,0,0,0.285714285714286,0,0.0714285714285714,0,0,0,0,0,0,0.214285714285714,0,0,0,0,0,0,0,0,0.0714285714285714,0
"NCB1416",1,0,0,100,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0.1,0,0.7,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCB1417",2.07142857142857,0.267261241912424,0,100,14,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCB1418",1,0,0,100,0,10,0,0,0,0,10,0,0,0,0,0,0.5,0,0.1,0.2,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCB1419",0.9,0.316227766016838,0,100,0,9,0,0,1,0,9,0,0,0,0,0,0.5,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
"NCB1421",0.9,0.316227766016838,0,100,0,7,0,0,2,1,7,0,0,0,0,0,0.2,0,0,0.2,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.1,0
"NCB1422",0.5,0.512989176042577,0,100,0,5,0,0,0,15,5,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0
"NCB1424",1,0,0,100,0,11,0,0,0,0,11,0,0,0,0,0,0.181818181818182,0,0.0909090909090909,0,0,0.0909090909090909,0,0.363636363636364,0.272727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCB1425",1,0,0,100,0,9,0,0,4,0,9,0,0,0,0,0.0769230769230769,0,0,0.0769230769230769,0,0,0.384615384615385,0,0,0.153846153846154,0,0,0,0,0,0,0,0,0,0,0.0769230769230769,0,0,0.230769230769231,0,0,0,0,0
"NCB1427",1.11111111111111,0.333333333333333,0,100,0,8,0,0,1,0,8,0,0,0,0,0.111111111111111,0.111111111111111,0,0.222222222222222,0,0,0,0,0,0.444444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0
"NCB1428",0.888888888888889,0.333333333333333,0,100,0,6,0,0,0,3,6,0,0,0,0,0,0.111111111111111,0,0,0.222222222222222,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0
"NCB1429",1,0,0,100,0,4,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCB1430",1,0,0,100,0,5,1,0,0,0,6,0,0,0,0,0,0.166666666666667,0,0,0.166666666666667,0,0.166666666666667,0,0.166666666666667,0.166666666666667,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCB1431",1,0,0,100,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0.4,0,0.4,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCB1434",1.06666666666667,0.258198889747161,0,100,0,13,0,0,2,0,13,0,0,0,0,0.0666666666666667,0,0,0.2,0.0666666666666667,0,0.0666666666666667,0,0,0.466666666666667,0,0,0,0,0,0,0,0,0.0666666666666667,0,0,0,0.0666666666666667,0,0,0,0,0,0
"NCB1436",1,0.534522483824849,0,100,0,5,0,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0.375,0,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.125,0
"NCB1438",1,0,0,100,0,8,1,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.5,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
"NCB1439",0.888888888888889,0.333333333333333,0,100,2,4,0,0,0,3,6,0.111111111111111,0,0,0.111111111111111,0,0,0.111111111111111,0,0,0,0.111111111111111,0,0,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0
"NCB1440",1,0,0,100,0,9,1,0,0,0,10,0,0,0,0,0,0.1,0,0,0,0,0.4,0,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCB1441",0,0,0,100,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NCB1442",2.05555555555556,0.937595311059234,0,100,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.722222222222222,0.277777777777778,0,0,0,0,0,0,0,0,0,0
"NCB1443",0.9,1.19721899973786,15,85,2,0,0,0,3,5,2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.5
"NCB1445",1.2,0.447213595499958,0,100,0,4,0,0,1,0,4,0,0,0,0,0.4,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0
"NCB1532",1,0,0,100,0,1,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCB1533",1.125,0.353553390593274,0,100,2,0,2,1,1,2,4,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.125,0,0,0,0,0.125,0,0,0,0,0,0,0.25,0
"NCB1534",1,0.471404520791032,0,100,0,4,0,0,0,6,4,0,0,0,0,0.2,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
"NCB1545",0.571428571428571,0.786795792469443,0,100,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0.714285714285714,0
"NCB1546",1,0,0,100,0,10,0,0,0,0,10,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCB1547",0,0,0,100,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.1
"NCB1548",2.21428571428571,0.974961255922229,50,50,7,0,3,1,2,1,10,0.0714285714285714,0,0,0.428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0.214285714285714,0,0.0714285714285714,0,0,0,0,0.0714285714285714,0.0714285714285714,0,0,0,0,0,0,0.0714285714285714,0
"NCB1549",0.684210526315789,1.10818327700728,0,100,0,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157894736842105,0,0.105263157894737,0,0,0,0,0,0.736842105263158,0
"NCB1550",1.27272727272727,1.42062726222673,0,100,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818181818182,0,0,0,0.818181818181818,0
"NCB1551",1,0,0,100,0,8,1,0,0,0,9,0,0,0,0,0,0,0,0.222222222222222,0,0,0.111111111111111,0,0,0.555555555555556,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCB1552",1,0,0,100,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCB1553",1,0,0,100,0,8,0,0,0,4,8,0,0,0,0,0,0.166666666666667,0.0833333333333333,0,0,0,0,0,0,0.416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0
"NCB1554",1.1,0.316227766016838,0,95,0,9,1,0,0,0,10,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCB1555",0.166666666666667,0.408248290463863,0,100,0,0,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.166666666666667,0
"NCB1556",0.928571428571429,0.267261241912424,0,100,0,0,10,2,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0
"NCB1557",1,0,0,100,2,2,0,1,0,1,4,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0
"NCB1558",0.9,0.316227766016838,0,100,0,4,2,0,0,4,6,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.1,0
"NCB1559",1,0,0,100,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NCB1560",0.818181818181818,0.404519917477945,0,100,0,4,3,0,0,4,7,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0.272727272727273,0,0.0909090909090909,0,0.181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363636363636364,0
